B02,B03,B04,B08,class
1265,2490,1062,21260,forest
1514,3133,1514,23173,forest
2792,3074,3696,5852,forest
1507,3054,1442,21731,forest
1914,4102,2038,28337,forest
2766,3251,4011,6357,forest
1691,3382,1501,22649,forest
2451,2713,3362,5302,forest
1357,2248,1127,18546,forest
1822,3342,1874,21181,forest
2038,3919,2254,24169,forest
1979,3237,2228,17537,forest
1212,2189,990,19798,forest
1514,2576,1324,21305,forest
1547,2615,1239,20630,forest
1448,2621,1252,21607,forest
2713,3192,4076,6082,forest
1409,2379,1121,21895,forest
1343,2294,1121,18474,forest
2058,3690,1743,27767,forest
1226,2123,1180,18907,forest
1448,2517,1389,20925,forest
1337,2215,1226,17550,forest
1527,2451,1265,22931,forest
2641,4601,2890,17760,forest
3296,3971,4981,7917,forest
2451,3237,3454,7215,forest
1455,2307,1232,18487,forest
1488,2287,1075,18501,forest
1239,1848,1009,20886,forest
1809,2870,1619,20067,forest
1625,2556,1311,19661,forest
3113,3500,4332,6468,forest
2464,3906,3021,19274,forest
1461,2333,1199,20368,forest
3106,4535,3971,16115,forest
2897,3218,4338,6665,forest
1625,2497,1337,16882,forest
1619,2222,1206,13795,forest
1579,3047,1606,22026,forest
1671,3244,1783,17930,forest
1324,2412,1160,23586,forest
1599,2405,1429,17314,forest
1153,2051,1003,18782,forest
1324,2038,1088,19261,forest
1448,2608,1278,28508,forest
1835,3355,1520,23468,forest
1147,2045,983,18874,forest
3670,4974,4601,20526,forest
4011,4902,6357,10296,forest
1370,2058,1022,17812,forest
1363,2228,1075,19326,forest
1376,1940,1042,18776,forest
1730,3093,1553,25113,forest
1540,2458,1153,17609,forest
1140,2104,1140,17996,forest
2654,2936,3775,5623,forest
1586,2648,1337,23285,forest
1271,2130,1173,18612,forest
2156,4404,2438,27918,forest
1383,2156,1147,18756,forest
1245,2136,1094,17963,forest
2792,3303,3749,6711,forest
1534,2130,1114,19208,forest
1566,2077,1232,16135,forest
2995,3303,4404,6789,forest
3283,3722,4797,6979,forest
1376,2359,1121,20447,forest
996,1796,1121,16213,forest
1678,2543,1311,27348,forest
1848,3722,2281,23992,forest
2012,4037,1914,27256,forest
1553,2150,1389,19870,forest
1258,2268,1094,20198,forest
1219,2195,1088,24294,forest
1953,3408,2025,20991,forest
1586,2451,1239,22439,forest
1435,2307,1396,19490,forest
1422,2372,1186,18769,forest
1461,2320,1311,20290,forest
1435,2497,1232,20460,forest
1933,3650,2077,22551,forest
1730,3231,1527,23252,forest
2792,4247,3178,17203,forest
1278,2123,1127,19287,forest
1343,2110,1022,14726,forest
1265,2346,1121,17681,forest
1416,2549,1206,16960,forest
1455,2530,1114,22413,forest
